S1 S1.x S1.y S1.lon S1.lat S2 S2.x S2.y S2.lon S2.lat dist.h alpha label 
395 703351.360837 6173000.227782 3.040820 42.656600 2256 827946.446653 6247696.646573 4.576360 43.316900 145270.404383 59.056750 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 109 829964.649890 6153052.026024 4.577920 42.465600 128175.097886 98.953477 E 
395 703351.360837 6173000.227782 3.040820 42.656600 3297 827966.741141 6260882.856061 4.579860 43.435500 152487.210484 54.807324 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 625 831129.079109 6215113.335013 4.607390 43.023300 134538.689927 71.758762 E 
395 703351.360837 6173000.227782 3.040820 42.656600 577 832900.991838 6193272.461053 4.623600 42.826600 131126.161898 81.106345 E 
395 703351.360837 6173000.227782 3.040820 42.656600 79 836424.057657 6140176.065296 4.653050 42.348700 137061.184446 103.856175 E 
395 703351.360837 6173000.227782 3.040820 42.656600 108 836411.632777 6157089.589330 4.657200 42.500700 134008.150441 96.818749 E 
395 703351.360837 6173000.227782 3.040820 42.656600 166 836314.248936 6165098.437275 4.658060 42.572700 133197.477096 93.401005 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1454 835665.352953 6233155.810989 4.667650 43.184700 145346.780840 65.551430 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 596 836974.731284 6205870.519329 4.676620 42.939100 137606.908241 76.180088 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2270 837811.986120 6249991.525694 4.698480 43.335700 154942.956295 60.204822 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 72 842606.149287 6134154.155483 4.726340 42.293400 144571.482109 105.586807 E 
395 703351.360837 6173000.227782 3.040820 42.656600 78 843334.451891 6145287.664273 4.738120 42.393300 142699.866703 101.198096 E 
395 703351.360837 6173000.227782 3.040820 42.656600 583 843659.082757 6203402.152721 4.757740 42.915600 143563.692730 77.774129 E 
395 703351.360837 6173000.227782 3.040820 42.656600 612 843780.007225 6213881.907270 4.762080 43.009800 146258.389312 73.768631 E 
